Type,Dog_ID,Name,Field,Old_Value,New_Value,Status,Location
NEW,211910330,Ragnar,,,,Available,"Main Campus- Big Blue, Website"
NEW,211903164,Falkor,,,,Available,"Main Kennel North, Main Campus - MKN-24"
NEW,211910420,Rollo,,,,Available,"Main Kennel North, Main Campus - MKN-14"
NEW,211910372,Floki,,,,Available,"Main Kennel North, Main Campus - MKN-08"
ADOPTED,211823717,Gnocchi,,,,adopted,
ADOPTED,211903456,Havana,,,,adopted,
TRIAL_ADOPTION,211812422,Crescendo,,,,Available,"Westside Adoption Center, Trial Adoption"
TRIAL_ADOPTION,211462064,Rio,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211819096,Sweet Pea ,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,208809275,Isabella,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211808307,Tim,,,,Available,"Main Campus, Trial Adoption"
UNLISTED,210495588,Hazel,,,,Available,"Main Campus- Big Blue, BB-01"
UNLISTED,208819565,Rocco,,,,Available,"Main Campus - Main Kennel South, MKS-10"
UNLISTED,211294318,Luna,,,,Available,"Main Campus - Main Kennel South, MKS-20"
UNLISTED,208819751,Mowgli,,,,Available,"Main Campus - Main Kennel South, MKS-21"
UNLISTED,210919404,Freddy,,,,Available,"Main Campus - Main Kennel South, MKS-19"
UNLISTED,211823502,Bao,,,,Available,"Dog Treatment, T-08"
UNLISTED,211823638,Mateo,,,,Available,"Dog Treatment, T-08"
